model,title,price,rating,reviews,availability
playstation 4,RPlay Play-Station 4 PS4 1TB Slim Edition Jet Black With 1 Wireless Controller,,4.9 out of 5 stars,10 ratings,
playstation 4,Sony Playstation PS4 1TB Black Console,$179.99,4.7 out of 5 stars,"1,134 ratings",Not Available
playstation 4,"Playstation Sony 4, 500GB Slim System [CUH-2215AB01], Black, 3003347",$200.00,4.6 out of 5 stars,318 ratings,Only 3 left in stock - order soon
playstation 4,PlayStation 4 Slim 1TB Console,$209.98,4.7 out of 5 stars,"15,483 ratings",
playstation 4,PlayStation 4 500GB Console [Old Model][Discontinued],,4.6 out of 5 stars,"13,681 ratings",
playstation 4,PlayStation 4 Slim 500GB Console [Discontinued] (Renewed),$359.00,4.4 out of 5 stars,"1,290 ratings",Not Available
playstation 4,"Newest Sony Playstation 4 PS4 1TB HDD Gaming Console Bundle with Three Games: The Last of Us, God of War, Horizon Zero Dawn, Included Dualshock 4 Wireless Controller",$250.00,4.6 out of 5 stars,566 ratings,Not Available
playstation 4,PlayStation 4 Slim 1TB Console - Call of Duty: Black Ops 4 Bundle [Discontinued],$250.01,4.6 out of 5 stars,"1,022 ratings",Only 2 left in stock - order soon
playstation 4,Sony PlayStation 4 Pro 1TB Console - Black (PS4 Pro),,4.5 out of 5 stars,"4,210 ratings",
playstation 4,Sony - USB PlayStation Move Sony 82756 (2 pcs) Black,$138.97,4.5 out of 5 stars,"4,068 ratings",Not Available
playstation 4,Sony PlayStation 4 500GB Console - Black,$226.99,4.6 out of 5 stars,"3,331 ratings",Only 1 left in stock - order soon
playstation 4,Meta Quest 2 — Advanced All-In-One Virtual Reality Headset — 256 GB,$349.00,4.7 out of 5 stars,"83,131 ratings",In Stock
playstation 4,PlayStation PS5 Console – God of War Ragnarök Bundle,$499.99,4.8 out of 5 stars,"15,548 ratings",In Stock
playstation 4,DualShock 4 Wireless Controller for PlayStation 4 - Jet Black,$59.99,4.7 out of 5 stars,"123,700 ratings",In Stock
playstation 4,"TALK WORKS Playstation 4 Controller Charging Cable Micro USB - 6' Long Braided Heavy Duty Fast Charger Cord for PS4 (Silver, Pack of 3) (14094)",$9.03,4.7 out of 5 stars,24 ratings,In Stock
playstation 4,"The Crew™ Motorfest - Limited Edition, PlayStation 4",$59.99,Previous page of related Sponsored Products,,"This item will be released on September 14, 2023."
playstation 4,Sonic Frontiers - PlayStation 4,$39.99,4.7 out of 5 stars,633 ratings,In Stock
playstation 4,"PDP Gaming Magnetic Ultra Slim Playstation 4 Controller Charging System - PS4 Accessories, Wireless Charger, Ambient Light Feature, LED Charging Indicators, Licensed by Sony (Black)",,4.6 out of 5 stars,"4,346 ratings",
playstation 4,Destroy All Humans! 2 - Reprobed: Single Player for PlayStation 4,$29.99,Previous page of related Sponsored Products,,"This item will be released on June 27, 2023."
playstation 4,Destroy All Humans! 2 - Reprobed: Single Player for PlayStation 4,$29.99,Previous page of related Sponsored Products,,"This item will be released on June 27, 2023."
playstation 4,DREDGE: Deluxe Edition - PlayStation 4,$29.99,4.7 out of 5 stars,5 ratings,In Stock
