model,price,rating,reviews,title
chair,,4.3 out of 5 stars,"28,869","Amazon Basics Padded Office Desk Chair with Armrests, Adjustable Height/Tilt, 360-Degree Swivel, 275Lb Capacity - Dark Brown, 24""D x 24.2""W x 34.8""H"
chair,"$82.10,$89.98",4.4 out of 5 stars,"19,224","BestOffice High-Back Gaming Chair PC Office Chair Computer Racing Chair PU Desk Task Chair Ergonomic Executive Swivel Rolling Chair with Lumbar Support for Back Pain Women, Men (White)"
chair,"$69.32,$89.71",4.2 out of 5 stars,"30,431","Amazon Basics Classic Puresoft PU Padded Mid-Back Office Computer Desk Chair with Armrest - Brown, 25.75""D x 24.25""W x 42.25""H"
chair,$124.94,4.4 out of 5 stars,157,"Ergonomic Gaming Office Chair - PU Leather Executive Swivel Computer Desk Chair with Flip-up Armrests and Lumbar Support for Working, Studying, Gaming Black"
chair,$149.99,4.3 out of 5 stars,52,"Executive Office Chair – Ergonomic Adjustable Computer Desk Chairs with High Back Flip-up Armrests, Swivel Task Chair with Lumbar Support, Bonded Leather"
chair,"$70.99,$89.71",4.2 out of 5 stars,"30,431","Amazon Basics Classic Puresoft PU Padded Mid-Back Office Computer Desk Chair with Armrest, 26""D x 23.75""W x 42""H, Black"
chair,$178.19,4.3 out of 5 stars,"3,543","AmazonCommercial Ergonomic High-Back Bonded Leather Executive Chair with Flip-Up Arms and Lumbar Support, Black"
chair,$271.69,4.3 out of 5 stars,"2,848","AmazonCommercial Ergonomic Executive Office Desk Chair with Flip-up Armrests and Adjustable Height, Tilt and Lumbar Support, Cream Bonded Leather, 29.5""D x 28""W x 43""H"
chair,$79.99,4.2 out of 5 stars,366,"Office Chair, Desk Chair Home Office Chair Mesh Computer Chair Ergonomic Office Chair with Lumbar Support Armrests, Mid Back Task Chair Adjustable Swivel Rolling Chair for Home Office, Living Room"
chair,"$49.00,$100.00",4.1 out of 5 stars,256,"Office Chair - Ergonomic Office Chair Mid Back Office Desk Chair with Wheels Computer Chair with Lumbar Support Home Office Chair with Armrests for Adults, Black"
chair,"$78.41,$99.73",4.5 out of 5 stars,"4,413","Amazon Basics Classic Faux Leather Office Desk Guest Chair with Metal Frame, Black, 27.4D x 23.6W x 35.8H in"
chair,"$55.99,$99.99",4.2 out of 5 stars,50,"GIA Barnyard Holstein Cow Pattern Home Office Task Chair Without Arms, Metal, White and Black"
chair,"$59.99,$85.99",4.4 out of 5 stars,"1,032","Office Chair Mid Back Computer Chair Ergonomic Mesh Computer Desk Chair with Lumbar Support Armrest, Executive Height Adjustable Swivel Task Chair for Women Adults"
chair,"$70.99,$89.71",4.2 out of 5 stars,"30,431","Amazon Basics Classic Puresoft PU Padded Mid-Back Office Computer Desk Chair with Armrest, 26""D x 23.75""W x 42""H, Black"
chair,"$159.99,$289.00",4.4 out of 5 stars,"8,855",Flash Furniture Whitney Mid-Back Desk Chair - White LeatherSoft Executive Swivel Office Chair with Gold Frame - Swivel Arm Chair
chair,"$129.99,$209.00",4.2 out of 5 stars,"9,608","Flash Furniture Kelista Office Chair, Ergonomic, Mid-Back, Black Mesh with Swivel"
chair,"$159.99,$232.00",4.3 out of 5 stars,471,Flash Furniture Kale High Back Designer Black Mesh Executive Swivel Ergonomic Office Chair with Adjustable Arms
chair,$105.99,3.8 out of 5 stars,247,"Backrest and Seat Height Adjustable Swivel Recliner Racing Office Computer Ergonomic, Without footrest,440lb Capacity Video Game Chairs, Red/Black"
chair,$59.99,4.7 out of 5 stars,"2,047",Baby Delight Go with Me Venture Portable Chair | Indoor and Outdoor | Sun Canopy | 3 Child Growth Stages | Grey
chair,$106.93,4.3 out of 5 stars,34,"CangLong Faux Leather Side Upholstered Arm Dinging Chair with Wood Legs Set of 1,Black"
chair,"$69.99,$89.99",4.5 out of 5 stars,"1,927","edx Home Office Desk Chair, Vanity Chair, Modern Adjustable Low Back Rolling Chair, Twill Upholstered Cute Office Chair, Desk Chairs with Wheels for Bedroom, Classroom, Vanity Room (Silver)"
chair,"$168.99,$241.42",3.9 out of 5 stars,"1,477",Flash Furniture Kelista High-Back Black Mesh Swivel Ergonomic Executive Office Chair with Flip-Up Arms and Adjustable Headrest
chair,$68.34,5.0 out of 5 stars,8,"VECELO Mid-Back Swivel Ergonomic Office Chair with Adjustable Arms Mesh Lumbar Support for Computer Task Work, Gray"
chair,"$69.99,$79.99",4.4 out of 5 stars,"2,400","Desk Chair, Ergonomic Mesh Office Chair High Back Computer Chair with Adjustable Headrest,Lumbar Support, Tilt Function,Swivel Rolling, Soft PU Armrest Task Chair Home Office Desk Chairs, Black"
chair,,3.8 out of 5 stars,"1,049","YSSOA Gaming Office High Back Computer Ergonomic Adjustable Swivel Chair with Headrest, Black/White Without footrest"
chair,$119.99,4.3 out of 5 stars,507,"SONGMICS Leisure Chair with Solid Wood Armrest and Feet, Mid-Century Modern Accent Sofa, for Living Room Bedroom Studio, Light Gray"
chair,"$99.99,$237.00",4.4 out of 5 stars,"2,402","Armen Living Summer Chair in Charcoal Fabric and Walnut Wood Finish, 31"" x 25"" x 22"""
chair,$44.73,2.6 out of 5 stars,98,"Comfty Mesh Office Chair with Mid Back and Chrome Base, 39.73”-40.91”, Black"
chair,$90.22,4.3 out of 5 stars,395,"CangLong Natural Wood Legs Mid Century Modern DSW Molded Shell Lounge Plastic Arm Chair for Living, Bedroom, Kitchen, Dining, Waiting Room, Set of 1, White"
