model,price,rating,reviews,title
washing machine,,,,
washing machine,,,,
washing machine,,,,
washing machine,,,,
washing machine,"$296.65,$349.00",4.4 out of 5 stars,"7,034",
washing machine,,,,
washing machine,,,,
washing machine,"$296.65,$349.00",4.4 out of 5 stars,"7,034",
washing machine,,,,
washing machine,,4.4 out of 5 stars,"7,034",
washing machine,"$296.65,$349.00",,,
washing machine,,,,
washing machine,"$233.75,$275.00",4.5 out of 5 stars,"2,682",
washing machine,,,,
washing machine,,,,
washing machine,"$233.75,$275.00",4.5 out of 5 stars,"2,682",
washing machine,,,,
washing machine,,4.5 out of 5 stars,"2,682",
washing machine,"$233.75,$275.00",,,
washing machine,,,,
washing machine,,,,
washing machine,"$247.41,$284.99",4.4 out of 5 stars,"3,474",
washing machine,,,,
washing machine,,,,
washing machine,"$247.41,$284.99",4.4 out of 5 stars,"3,474",
washing machine,,,,
washing machine,,4.4 out of 5 stars,"3,474",
washing machine,"$247.41,$284.99",,,
washing machine,,,,
washing machine,,,,
washing machine,,,,
washing machine,,,,
washing machine,"$296.65,$349.00",4.4 out of 5 stars,"7,034",
washing machine,,,,
washing machine,,,,
washing machine,"$296.65,$349.00",4.4 out of 5 stars,"7,034",
washing machine,,,,
washing machine,,4.4 out of 5 stars,"7,034",
washing machine,"$296.65,$349.00",,,
washing machine,,,,
washing machine,,,,
washing machine,,,,
washing machine,,,,
washing machine,"$291.85,$354.99",4.4 out of 5 stars,"1,225",
washing machine,,,,
washing machine,,,,
washing machine,"$291.85,$354.99",4.4 out of 5 stars,"1,225",
washing machine,,,,
washing machine,,4.4 out of 5 stars,"1,225",
washing machine,"$291.85,$354.99",,,
washing machine,,,,
washing machine,,,,
washing machine,,,,
washing machine,,,,
washing machine,,,,
washing machine,,,,
washing machine,"$233.75,$275.00",4.5 out of 5 stars,"2,682",
washing machine,,,,
washing machine,,,,
washing machine,"$233.75,$275.00",4.5 out of 5 stars,"2,682",
washing machine,,,,
washing machine,,4.5 out of 5 stars,"2,682",
washing machine,"$233.75,$275.00",,,
washing machine,,,,
washing machine,,,,
washing machine,"$219.00,$249.00",4.3 out of 5 stars,"1,569",
washing machine,,,,
washing machine,,,,
washing machine,"$219.00,$249.00",4.3 out of 5 stars,"1,569",
washing machine,,,,
washing machine,,4.3 out of 5 stars,"1,569",
washing machine,"$219.00,$249.00",,,
washing machine,,,,
washing machine,,,,
washing machine,,,,
washing machine,,,,
washing machine,"$159.99,$259.99",3.8 out of 5 stars,"2,139",
washing machine,,,,
washing machine,,,,
washing machine,"$159.99,$259.99",3.8 out of 5 stars,"2,139",
washing machine,,,,
washing machine,,3.8 out of 5 stars,"2,139",
washing machine,"$159.99,$259.99",,,
washing machine,,,,
washing machine,,,,
washing machine,,,,
washing machine,,,,
washing machine,"$56.99,$74.99",3.9 out of 5 stars,"1,849",
washing machine,,,,
washing machine,,,,
washing machine,"$56.99,$74.99",3.9 out of 5 stars,"1,849",
washing machine,,,,
washing machine,,3.9 out of 5 stars,"1,849",
washing machine,"$56.99,$74.99",,,
washing machine,,,,
washing machine,,,,
washing machine,,,,
washing machine,,,,
