model,title,price,rating,reviews
table,,$20.00,,
table,,"2,912,355.67 VND",,
table,,"840,466.40 VND",,
table,,"1,471,041.40 VND",5.0 out of 5 stars.,
table,,"3,002,437.81 VND,3,903,259.26 VND",,
table,,"285,476.19 VND",,
table,,"450,110.45 VND,480,137.83 VND",,
table,,"990,603.31 VND",,
table,,"750,384.24 VND",,
table,,"330,000.93 VND,417,080.33 VND",,
table,,"540,192.60 VND",,
table,,"720,356.88 VND",,
table,,"1,050,658.07 VND",,
table,,"600,247.33 VND",,
table,,"1,711,260.45 VND",,
table,,"746,180.43 VND",4.5 out of 5 stars.,
table,,"2,702,164.02 VND",,
table,,"1,801,342.60 VND",,
table,,"1,200,794.98 VND",,
table,,"675,616.07 VND",5.0 out of 5 stars.,
table,,"414,077.60 VND",,
table,,"569,018.88 VND",4.5 out of 5 stars.,
table,,"600,247.33 VND,750,384.24 VND",,
table,,"570,219.95 VND,660,302.12 VND",,
table,,"1,080,685.45 VND",,
table,,"1,501,068.79 VND",,
table,,"450,410.71 VND,6,996,379.76 VND",,
table,,"1,050,658.07 VND,1,080,685.45 VND",,
table,,"1,768,612.74 VND",,
table,,"1,591,150.93 VND",,
table,,"1,050,658.07 VND",,
table,,"8,165,946.26 VND,16,693,722.45 VND",,
table,,"1,290,877.12 VND",5.0 out of 5 stars.,
table,,"450,110.45 VND,510,165.21 VND",,
table,,"1,453,024.98 VND",,
table,,"5,675,175.00 VND,9,278,460.71 VND",,
table,,"1,050,658.07 VND",,
table,,"1,171,067.86 VND,6,304,849.19 VND",,
table,,"2,642,109.26 VND",,
table,,"1,651,205.69 VND,3,903,259.26 VND",,
table,,"1,080,685.45 VND",,
table,,"1,501,068.79 VND",5.0 out of 5 stars.,
table,,"904,523.81 VND",,
table,,"720,356.88 VND,840,466.40 VND",,
table,,"1,501,068.79 VND",,
table,,"990,603.31 VND",,
table,,"480,137.83 VND",,
table,,"1,171,067.86 VND",,
table,,"900,521.17 VND",,
table,,"2,401,890.19 VND",,
table,,"900,521.17 VND",4.5 out of 5 stars.,
table,,"480,137.83 VND",,
table,,"6,761,904.76 VND",,
table,,"3,903,559.52 VND,7,957,255.95 VND",,
table,,"779,210.52 VND,959,374.83 VND",,
table,,"1,170,767.60 VND",,
table,,"1,050,658.07 VND",,
table,,"480,137.83 VND",,
table,,"1,770,114.12 VND",,
table,,"2,972,410.43 VND",,
table,,"630,274.71 VND",,
table,,$20.00,,
table,,"630,274.71 VND",,
table,,"1,290,877.12 VND",4.5 out of 5 stars.,
table,,"1,080,685.45 VND",,
table,,"1,501,068.79 VND,1,651,205.69 VND",,
table,,"750,384.24 VND",,
table,,"900,521.17 VND",4.5 out of 5 stars.,
table,,"330,000.93 VND",,
table,,"1,050,658.07 VND",,
table,,"675,616.07 VND",,
table,,"1,050,958.33 VND,7,206,571.43 VND",,
table,,"2,142,857.14 VND",,
table,,"390,055.69 VND",,
table,,"750,384.24 VND,870,493.79 VND",,
table,,"630,274.71 VND",,
table,,"900,521.17 VND",,
table,,"1,733,780.98 VND",,
table,,"600,247.33 VND",,
table,,"3,002,437.81 VND,12,010,652.12 VND",,
table,,"720,657.14 VND",,
table,,"1,199,593.88 VND",,
table,,"973,730.90 VND,1,376,518.57 VND",,
table,,"780,411.62 VND",,
table,,"930,848.81 VND",,
table,,"1,501,068.79 VND",,
table,,"587,035.31 VND,669,610.60 VND",,
table,,"1,260,849.74 VND",,
table,,"1,981,506.88 VND",,
table,,"414,077.60 VND",,
table,,"600,547.62 VND",,
table,,"720,356.88 VND",4.5 out of 5 stars.,
table,,"600,547.62 VND",,
table,,"840,466.40 VND",,
table,,"1,200,794.98 VND,1,350,931.88 VND",,
table,,"1,200,794.98 VND",2.5 out of 5 stars.,
table,,"1,200,794.98 VND",,
table,,"254,031.64 VND",,
table,,"1,043,451.50 VND",,
table,,"1,050,658.07 VND",,
table,,"1,621,178.31 VND",4.5 out of 5 stars.,
table,,"1,951,479.50 VND",,
table,,"966,581.40 VND,1,454,826.62 VND",,
table,,"478,936.74 VND",3.0 out of 5 stars.,
table,,"1,200,794.98 VND",,
table,,"3,753,122.36 VND,7,056,134.26 VND",,
table,,"510,165.21 VND,750,384.24 VND",,
table,,"1,110,712.83 VND",,
table,,"390,055.69 VND",,
table,,"1,110,712.83 VND",,
table,,"1,410,986.64 VND",,
table,,"870,493.79 VND",,
table,,"172,357.17 VND,1,056,663.52 VND",,
table,,"1,410,986.64 VND",,
table,,"2,101,616.40 VND",,
table,,"34,831.76 VND,3,744,714.67 VND",,
table,,"690,329.50 VND",,
table,,"900,521.17 VND",4.5 out of 5 stars.,
table,,"780,411.62 VND,1,290,877.12 VND",,
table,,"600,247.33 VND",,
table,,"2,191,698.55 VND",,
table,,"2,702,164.02 VND",,
table,,$20.00,,
table,,"1,951,479.50 VND",4.0 out of 5 stars.,
table,,"1,320,904.50 VND",5.0 out of 5 stars.,
table,,"1,080,685.45 VND",,
table,,"600,247.33 VND",,
table,,"900,521.17 VND",4.5 out of 5 stars.,
table,,"780,411.62 VND,1,290,877.12 VND",,
table,,"600,247.33 VND",,
table,,"1,591,150.93 VND",,
table,,"3,122,547.33 VND,3,602,985.45 VND",,
table,,"1,801,342.60 VND",,
table,,"299,973.55 VND,840,766.67 VND",,
table,,"780,411.62 VND",4.5 out of 5 stars.,
table,,"1,499,867.69 VND",,
table,,"29,727.12 VND,3,154,376.36 VND",,
table,,"1,350,931.88 VND",4.5 out of 5 stars.,
table,,"1,951,479.50 VND",,
table,,"384,050.19 VND,900,521.17 VND",,
table,,"1,350,931.88 VND",,
table,,"1,650,905.40 VND",4.5 out of 5 stars.,
table,,"1,350,931.88 VND",,
table,,"1,501,068.79 VND",,
table,,"870,794.05 VND,1,651,505.95 VND",,
table,,"16,191,964.90 VND",,
table,,"719,155.79 VND,809,237.93 VND",,
table,,"1,981,506.88 VND",,
table,,"780,411.62 VND",,
table,,"79,272.29 VND,475,633.71 VND",,
table,,"885,507.48 VND,1,350,931.88 VND",,
table,,"2,702,164.02 VND",,
table,,"1,170,767.60 VND",,
table,,"4,202,331.98 VND",,
table,,"665,476.19 VND",,
table,,"1,200,794.98 VND",4.5 out of 5 stars.,
table,,"1,200,794.98 VND",,
table,,"952,142.86 VND",,
table,,"630,274.71 VND",,
table,,"1,140,740.21 VND",,
table,,"990,603.31 VND",,
table,,"2,311,808.05 VND",5.0 out of 5 stars.,
table,,"2,100,415.31 VND,2,370,661.74 VND",,
table,,"990,603.31 VND",,
table,,"1,785,714.29 VND",,
table,,"510,165.21 VND",,
table,,"390,055.69 VND",,
table,,"1,785,714.29 VND",,
table,,"2,972,710.71 VND",,
table,,"1,380,959.26 VND",,
table,,"1,410,986.64 VND",,
table,,"900,521.17 VND",,
table,,"1,141,040.48 VND",,
table,,"1,891,424.74 VND",5.0 out of 5 stars.,
table,,"1,110,712.83 VND",,
table,,"88,580.79 VND,331,802.57 VND",,
table,,"720,356.88 VND",,
table,,"59,754.48 VND,1,141,040.48 VND",,
table,,"390,055.69 VND",,
table,,"300,273.81 VND,600,547.62 VND",,
table,,"328,799.81 VND,869,292.69 VND",,
table,,"1,891,424.74 VND",,
table,,"660,302.12 VND",,
table,,$20.00,,
table,,"1,801,342.60 VND",,
table,,"600,247.33 VND",,
table,,"1,170,467.31 VND",,
table,,"1,741,287.83 VND",,
table,,"989,402.21 VND,1,890,223.64 VND",,
table,,"750,384.24 VND",5.0 out of 5 stars.,
table,,"330,000.93 VND,360,028.31 VND",,
table,,"1,050,658.07 VND",5.0 out of 5 stars.,
table,,"810,439.02 VND",4.5 out of 5 stars.,
table,,"1,471,041.40 VND",,
table,,"1,889,623.10 VND",,
table,,"840,466.40 VND",5.0 out of 5 stars.,
table,,"4,023,669.05 VND,5,825,311.90 VND",,
table,,"720,056.60 VND",,
table,,"4,203,833.33 VND,6,455,886.90 VND",,
table,,"585,533.93 VND",,
table,,"660,302.12 VND",,
table,,"1,050,658.07 VND",,
table,,"1,200,794.98 VND",,
table,,"1,422,619.05 VND,18,389,047.62 VND",,
table,,"149,836.64 VND",,
table,,"869,292.69 VND",,
table,,"5,582,390.40 VND,5,702,499.93 VND",,
table,,"508,964.10 VND",,
table,,"1,333,333.33 VND",,
table,,"480,137.83 VND",,
table,,"1,801,342.60 VND",,
table,,"3,152,875.00 VND",,
table,,"2,100,415.31 VND,2,370,661.74 VND",,
table,,"12,600,000.00 VND,53,142,857.14 VND",,
table,,"840,466.40 VND",,
table,,"780,411.62 VND",,
table,,"870,493.79 VND,1,080,685.45 VND",,
table,,"2,521,999.74 VND",,
table,,"3,451,347.17 VND",,
table,,"870,493.79 VND",,
table,,"1,239,285.71 VND",,
table,,"13,812,595.24 VND",,
table,,"45,041.07 VND,2,417,204.17 VND",,
table,,"57,052.02 VND,2,155,665.69 VND",,
table,,"599,046.26 VND",,
table,,"1,200,794.98 VND",,
table,,"3,480,774.00 VND",,
table,,"2,372,163.10 VND",,
table,,"1,290,877.12 VND",,
table,,"750,384.24 VND",,
table,,"1,621,178.31 VND",,
table,,"1,861,397.36 VND",,
table,,"1,410,986.64 VND",,
table,,"8,538,725.00 VND",,
table,,"1,170,767.60 VND",,
table,,"1,468,338.93 VND,1,501,068.79 VND",,
table,,"269,946.17 VND,930,548.55 VND",,
table,,"2,191,698.55 VND",,
table,,"1,441,014.02 VND",,
table,,"836,666.67 VND",,
table,,"1,110,712.83 VND",,
table,,"1,050,658.07 VND",,
table,,"1,200,794.98 VND",,
table,,"7,206,571.43 VND",,
table,,$20.00,,
table,,"2,101,616.40 VND",,
table,,"570,219.95 VND",,
table,,"2,107,621.88 VND",,
table,,"64,558.86 VND,2,237,039.88 VND",,
table,,"1,651,205.69 VND",,
table,,"3,867,082.14 VND",,
table,,"163,809.52 VND",,
table,,"1,050,658.07 VND",,
table,,"1,501,068.79 VND",,
table,,"1,561,123.55 VND",4.5 out of 5 stars.,
table,,"1,666,428.57 VND",,
table,,"1,049,456.98 VND",4.5 out of 5 stars.,
table,,"591,239.14 VND,840,466.40 VND",,
table,,"750,384.24 VND,7,806,818.79 VND",,
table,,"600,247.33 VND",,
table,,"2,672,436.90 VND,3,963,614.29 VND",,
table,,"990,603.31 VND",,
table,,"1,050,658.07 VND",,
table,,"1,050,658.07 VND",,
table,,"1,256,766.64 VND,1,276,096.67 VND",,
table,,"1,499,867.69 VND",,
table,,"1,711,260.45 VND",3.5 out of 5 stars.,
table,,"660,302.12 VND",,
table,,"780,411.62 VND",,
table,,"272,034.90 VND",,
table,,"540,492.86 VND",,
table,,"1,410,986.64 VND",,
table,,"750,384.24 VND",,
table,,"1,200,794.98 VND",,
table,,"3,002,437.81 VND",,
table,,"34,531.50 VND,1,755,100.43 VND",,
table,,"339,009.14 VND,4,455,763.07 VND",,
table,,"16,485,032.14 VND,19,487,770.24 VND",,
table,,"3,512,903.31 VND",,
table,,"840,466.40 VND",,
table,,"3,512,903.31 VND",,
table,,"1,320,904.50 VND",,
table,,"2,101,616.40 VND",,
table,,"2,702,164.02 VND",,
table,,"1,290,877.12 VND",,
table,,"840,766.67 VND",,
table,,"1,801,342.60 VND",,
table,,"1,800,141.50 VND",,
table,,"30,778,065.48 VND",,
table,,"1,050,958.33 VND",,
table,,"750,384.24 VND",,
table,,"4,804,080.69 VND",,
table,,"1,501,068.79 VND",5.0 out of 5 stars.,
table,,"990,603.31 VND",,
table,,"749,183.17 VND",,
table,,"2,162,872.26 VND",,
table,,"840,766.67 VND",,
table,,"3,512,903.31 VND",,
table,,"1,422,619.05 VND,14,770,000.00 VND",,
table,,"1,441,014.02 VND,1,468,338.93 VND",,
table,,"900,521.17 VND",,
table,,"356,904.76 VND",,
table,,"1,621,178.31 VND",,
table,,"7,206,571.43 VND",,
table,,"110,801.05 VND,188,872.24 VND",,
