model,title,price,rating,reviews
computer,,,,
computer,,,,
computer,,,,
computer,,,,
computer,"CyberpowerPC Gamer Xtreme VR Gaming PC, Intel Core i7-12700F 2.1GHz, GeForce RTX 3060 12GB, 16GB DDR4, 1TB NVMe SSD, WiFi & Win 11 Home (GXiVR8040A12), Black","$1,169.99",4.5 out of 5 stars,"2,400"
computer,,,,
computer,,,,
computer,"CyberpowerPC Gamer Xtreme VR Gaming PC, Intel Core i7-12700F 2.1GHz, GeForce RTX 3060 12GB, 16GB DDR4, 1TB NVMe SSD, WiFi & Win 11 Home (GXiVR8040A12), Black","$1,169.99",4.5 out of 5 stars,"2,400"
computer,"CyberpowerPC Gamer Xtreme VR Gaming PC, Intel Core i7-12700F 2.1GHz, GeForce RTX 3060 12GB, 16GB DDR4, 1TB NVMe SSD, WiFi & Win 11 Home (GXiVR8040A12), Black",,,
computer,,,4.5 out of 5 stars,"2,400"
computer,,"$1,169.99",,
computer,,,,
computer,,,,
computer,"ASUS CX1500CNA-AS84F Chromebook CX1, 15.6"" Full HD NanoEdge Display, Intel Celeron N3350 Processor, 64GB eMMC Storage, 8GB RAM, Chrome OS, Transparent Silver, CX1500CNA-AS84F",$249.99,4.1 out of 5 stars,345
computer,,,,
computer,,,,
computer,"ASUS CX1500CNA-AS84F Chromebook CX1, 15.6"" Full HD NanoEdge Display, Intel Celeron N3350 Processor, 64GB eMMC Storage, 8GB RAM, Chrome OS, Transparent Silver, CX1500CNA-AS84F",$249.99,4.1 out of 5 stars,345
computer,"ASUS CX1500CNA-AS84F Chromebook CX1, 15.6"" Full HD NanoEdge Display, Intel Celeron N3350 Processor, 64GB eMMC Storage, 8GB RAM, Chrome OS, Transparent Silver, CX1500CNA-AS84F",,,
computer,,,4.1 out of 5 stars,345
computer,,$249.99,,
computer,,,,
computer,"Acer 2023 15"" HD Premium Chromebook, Intel Celeron N Processor 2.78GHz Turbo Speed, 4GB Ram, 64GB SSD, Ultra-Fast WiFi Up to 1700 Mbps, Full Size Keyboard, Chrome OS, Arctic Silver Color-(Renewed)",$166.99,5.0 out of 5 stars,2
computer,,,,
computer,,,,
computer,"Acer 2023 15"" HD Premium Chromebook, Intel Celeron N Processor 2.78GHz Turbo Speed, 4GB Ram, 64GB SSD, Ultra-Fast WiFi Up to 1700 Mbps, Full Size Keyboard, Chrome OS, Arctic Silver Color-(Renewed)",$166.99,5.0 out of 5 stars,2
computer,"Acer 2023 15"" HD Premium Chromebook, Intel Celeron N Processor 2.78GHz Turbo Speed, 4GB Ram, 64GB SSD, Ultra-Fast WiFi Up to 1700 Mbps, Full Size Keyboard, Chrome OS, Arctic Silver Color-(Renewed)",,,
computer,,,5.0 out of 5 stars,2
computer,,$166.99,,
computer,,,,
computer,"Lenovo 2023 High Performance 15'' FHD IPS Laptop, Intel Quad-Core Pentium Processor Up to 3.0GHz, 8GB RAM, 256GB SSD, Super-Fast WiFi Speed, Windows 11 OS, Dale Blue (Renewed)",$219.99,,
computer,,,,
computer,,,,
computer,"Lenovo 2023 High Performance 15'' FHD IPS Laptop, Intel Quad-Core Pentium Processor Up to 3.0GHz, 8GB RAM, 256GB SSD, Super-Fast WiFi Speed, Windows 11 OS, Dale Blue (Renewed)",$219.99,,
computer,"Lenovo 2023 High Performance 15'' FHD IPS Laptop, Intel Quad-Core Pentium Processor Up to 3.0GHz, 8GB RAM, 256GB SSD, Super-Fast WiFi Speed, Windows 11 OS, Dale Blue (Renewed)",,,
computer,,$219.99,,
computer,,,,
computer,"Acer Aspire 1 A115-32-C96U Slim Laptop | 15.6"" Full HD Display | Intel Celeron N4500 Processor | 4GB DDR4 | 128GB eMMC | WiFi 5 | Microsoft 365 Personal 1-Year Subscription | Windows 11 Home in S mode",$229.99,3.6 out of 5 stars,62
computer,,,,
computer,,,,
computer,"Acer Aspire 1 A115-32-C96U Slim Laptop | 15.6"" Full HD Display | Intel Celeron N4500 Processor | 4GB DDR4 | 128GB eMMC | WiFi 5 | Microsoft 365 Personal 1-Year Subscription | Windows 11 Home in S mode",$229.99,3.6 out of 5 stars,62
computer,"Acer Aspire 1 A115-32-C96U Slim Laptop | 15.6"" Full HD Display | Intel Celeron N4500 Processor | 4GB DDR4 | 128GB eMMC | WiFi 5 | Microsoft 365 Personal 1-Year Subscription | Windows 11 Home in S mode",,,
computer,,,3.6 out of 5 stars,62
computer,,$229.99,,
computer,,,,
computer,"Dell Optiplex 9020 Mini Tower Desktop PC, Intel Core i7-4770-3.4 GHz, 32GB Ram, 1TB (1000GB) SSD Drive, WiFi, DVD-RW, Windows 10 Pro (Renewed)","$180.00,$198.00",4.0 out of 5 stars,"1,415"
computer,,,,
computer,,,,
computer,,,,
computer,,,,
computer,,,,
computer,"Dell Optiplex 9020 Mini Tower Desktop PC, Intel Core i7-4770-3.4 GHz, 32GB Ram, 1TB (1000GB) SSD Drive, WiFi, DVD-RW, Windows 10 Pro (Renewed)","$180.00,$198.00",4.0 out of 5 stars,"1,415"
computer,,,,
computer,"Dell Optiplex 9020 Mini Tower Desktop PC, Intel Core i7-4770-3.4 GHz, 32GB Ram, 1TB (1000GB) SSD Drive, WiFi, DVD-RW, Windows 10 Pro (Renewed)","$180.00,$198.00",4.0 out of 5 stars,"1,415"
computer,"Dell Optiplex 9020 Mini Tower Desktop PC, Intel Core i7-4770-3.4 GHz, 32GB Ram, 1TB (1000GB) SSD Drive, WiFi, DVD-RW, Windows 10 Pro (Renewed)",,,
computer,,,4.0 out of 5 stars,"1,415"
computer,,"$180.00,$198.00",,
computer,,,,
computer,,,,
computer,,,,
computer,,,,
computer,,,,
computer,"ASUS C424MA-AS48F Chromebook C424, 14.0"" 180 Degree FHD NanoEdge Display, Intel Dual Core Celeron Processor, 4GB LPDDR4 RAM, 128GB Storage, Silver Color, C424MA-AS48F",$249.99,5.0 out of 5 stars,2
computer,,,,
computer,,,,
computer,"ASUS C424MA-AS48F Chromebook C424, 14.0"" 180 Degree FHD NanoEdge Display, Intel Dual Core Celeron Processor, 4GB LPDDR4 RAM, 128GB Storage, Silver Color, C424MA-AS48F",$249.99,5.0 out of 5 stars,2
computer,"ASUS C424MA-AS48F Chromebook C424, 14.0"" 180 Degree FHD NanoEdge Display, Intel Dual Core Celeron Processor, 4GB LPDDR4 RAM, 128GB Storage, Silver Color, C424MA-AS48F",,,
computer,,,5.0 out of 5 stars,2
computer,,$249.99,,
computer,,,,
computer,,,,
computer,,,,
computer,,,,
computer,"HP 2022 Newest Laptops for College Student & Business, 15.6 inch HD Computer, Intel Pentium Silver N5000, 16GB RAM, 1TB SSD, Office 365 1-Year, Fast Charge, Light-Weight, Windows 11, ROKC HDMI Cable",$519.99,4.4 out of 5 stars,52
computer,,,,
computer,,,,
computer,"HP 2022 Newest Laptops for College Student & Business, 15.6 inch HD Computer, Intel Pentium Silver N5000, 16GB RAM, 1TB SSD, Office 365 1-Year, Fast Charge, Light-Weight, Windows 11, ROKC HDMI Cable",$519.99,4.4 out of 5 stars,52
computer,"HP 2022 Newest Laptops for College Student & Business, 15.6 inch HD Computer, Intel Pentium Silver N5000, 16GB RAM, 1TB SSD, Office 365 1-Year, Fast Charge, Light-Weight, Windows 11, ROKC HDMI Cable",,,
computer,,,4.4 out of 5 stars,52
computer,,$519.99,,
computer,,,,
computer,"Acer Aspire 5 A515-46-R3UB | 15.6"" Full HD IPS Display | AMD Ryzen 3 3350U Quad-Core Mobile Processor | 4GB DDR4 | 128GB NVMe SSD | WiFi 6 | Backlit KB | FPR | Amazon Alexa | Windows 11 Home in S mode","$289.99,$389.99",4.5 out of 5 stars,"2,709"
computer,,,,
computer,,,,
computer,"Acer Aspire 5 A515-46-R3UB | 15.6"" Full HD IPS Display | AMD Ryzen 3 3350U Quad-Core Mobile Processor | 4GB DDR4 | 128GB NVMe SSD | WiFi 6 | Backlit KB | FPR | Amazon Alexa | Windows 11 Home in S mode","$289.99,$389.99",4.5 out of 5 stars,"2,709"
computer,"Acer Aspire 5 A515-46-R3UB | 15.6"" Full HD IPS Display | AMD Ryzen 3 3350U Quad-Core Mobile Processor | 4GB DDR4 | 128GB NVMe SSD | WiFi 6 | Backlit KB | FPR | Amazon Alexa | Windows 11 Home in S mode",,,
computer,,,4.5 out of 5 stars,"2,709"
computer,,"$289.99,$389.99",,
computer,,,,
computer,,,,
computer,,,,
computer,,,,
computer,"HP Premium 11"" HD IPS Laptop, Intel Celeron N Processor 2.60GHz Turbo Speed, 4GB DDR4, 128GB Storage(64GB SSD+64GB MSD), Ultra-Fast WiFi Speed, Windows 11 OS, Pearl White Color (Renewed)",$192.99,3.0 out of 5 stars,2
computer,,,,
computer,,,,
computer,"HP Premium 11"" HD IPS Laptop, Intel Celeron N Processor 2.60GHz Turbo Speed, 4GB DDR4, 128GB Storage(64GB SSD+64GB MSD), Ultra-Fast WiFi Speed, Windows 11 OS, Pearl White Color (Renewed)",$192.99,3.0 out of 5 stars,2
computer,"HP Premium 11"" HD IPS Laptop, Intel Celeron N Processor 2.60GHz Turbo Speed, 4GB DDR4, 128GB Storage(64GB SSD+64GB MSD), Ultra-Fast WiFi Speed, Windows 11 OS, Pearl White Color (Renewed)",,,
computer,,,3.0 out of 5 stars,2
computer,,$192.99,,
computer,,,,
