model,title,price,rating,reviews
lamp,,,,
lamp,,,,
lamp,,,,
lamp,,,,
lamp,"Catalina Lighting 13.5"" Traditional Bankers Desk Lamp with Glass Shade, Green",$47.00,4.6 out of 5 stars,752
lamp,,,,
lamp,"Catalina Lighting 13.5"" Traditional Bankers Desk Lamp with Glass Shade, Green",$47.00,4.6 out of 5 stars,752
lamp,"Catalina Lighting 13.5"" Traditional Bankers Desk Lamp with Glass Shade, Green",,,
lamp,,,4.6 out of 5 stars,752
lamp,,$47.00,,
lamp,,,,
lamp,Beantech Wi-Fi Smart Color Changing Bedside Lamp-Compatible with Alexa and Google Assistant,$27.99,4.4 out of 5 stars,11
lamp,,,,
lamp,Beantech Wi-Fi Smart Color Changing Bedside Lamp-Compatible with Alexa and Google Assistant,$27.99,4.4 out of 5 stars,11
lamp,Beantech Wi-Fi Smart Color Changing Bedside Lamp-Compatible with Alexa and Google Assistant,,,
lamp,,,4.4 out of 5 stars,11
lamp,,$27.99,,
lamp,,,,
lamp,"Catalina 17.75"" Traditional Bankers Desk Lamp with Glass Shade, Classic Bronze",$61.00,4.5 out of 5 stars,88
lamp,,,,
lamp,"Catalina 17.75"" Traditional Bankers Desk Lamp with Glass Shade, Classic Bronze",$61.00,4.5 out of 5 stars,88
lamp,"Catalina 17.75"" Traditional Bankers Desk Lamp with Glass Shade, Classic Bronze",,,
lamp,,,4.5 out of 5 stars,88
lamp,,$61.00,,
lamp,,,,
lamp,"JONATHAN Y JYL6003A Barnes 24"" LED Metal Task Lamp Modern,Contemporay,Transitional for Bedroom, Living Room, Office, College Dorm, Coffee Table, Bookcase, Black/BrassGold",$71.20,4.1 out of 5 stars,17
lamp,,,,
lamp,"JONATHAN Y JYL6003A Barnes 24"" LED Metal Task Lamp Modern,Contemporay,Transitional for Bedroom, Living Room, Office, College Dorm, Coffee Table, Bookcase, Black/BrassGold",$71.20,4.1 out of 5 stars,17
lamp,"JONATHAN Y JYL6003A Barnes 24"" LED Metal Task Lamp Modern,Contemporay,Transitional for Bedroom, Living Room, Office, College Dorm, Coffee Table, Bookcase, Black/BrassGold",,,
lamp,,,4.1 out of 5 stars,17
lamp,,$71.20,,
lamp,,,,
lamp,"Simple Designs LF2000-WHT Mother-Daughter Floor Lamp with Reading Light, White","$29.99,$39.99",4.4 out of 5 stars,"20,958"
lamp,,,,
lamp,"Simple Designs LF2000-WHT Mother-Daughter Floor Lamp with Reading Light, White","$29.99,$39.99",4.4 out of 5 stars,"20,958"
lamp,"Simple Designs LF2000-WHT Mother-Daughter Floor Lamp with Reading Light, White",,,
