model,price,rating,reviews,title
table,$53.39,4.5 out of 5 stars,"8,612","Amazon Basics Round Storage End Table, Side Table with Cloth Basket, White/Heather Gray, 18 in x 18 in x 19 in"
table,"$49.00,$104.99",4.5 out of 5 stars,"5,600","Sauder North Avenue Coffee Table, Charter Oak finish, L: 31.50"" x W: 20.00"" x H: 16.54"""
table,"$16.26,$47.99",4.5 out of 5 stars,"96,511","Furinno Just 3-Tier Turn-N-Tube End Table / Side Table / Night Stand / Bedside Table with Plastic Poles, 1-Pack, French Oak Grey/Black"
table,"$2,250.00",5.0 out of 5 stars,1,NauticalMart Aviator 3 Door Sideboard End Table Design Metal Side Table
table,$74.99,4.6 out of 5 stars,140,
table,$51.33,4.4 out of 5 stars,"22,878","Amazon Basics Classic TV Dinner Folding Trays with Storage Rack - 4-Pack, Black"
table,$53.39,4.5 out of 5 stars,"8,612","Amazon Basics Round Storage End Table, Side Table with Cloth Basket, Charcoal/Heather Gray, 17.7 x 17.7 x 18.9 in"
table,"$41.41,$46.01",4.9 out of 5 stars,19,"Amazon Basics Wood Lift-Top Kids Study Desk, White"
table,"$25.21,$59.99",4.1 out of 5 stars,"46,088","FURINNO Simplistic Study Table, Espresso"
table,"$18.50,$24.60",4.3 out of 5 stars,"40,781","Furinno Simplistic Set of 2 End Table, Dark Walnut"
table,"$65.85,$72.52",4.7 out of 5 stars,"6,237",Flash Furniture Elon 2.85-Foot Square Granite White Plastic Folding Table | Waterproof | Impact and Stain Resistant
table,"$24.62,$37.99",4.6 out of 5 stars,"15,077",Flash Furniture Mindy Kids Blue Folding Table
table,"$15.50,$17.30",4.4 out of 5 stars,"10,572","Furinno Simple Design End/SideTable, Espresso"
table,"$38.55,$51.40",4.6 out of 5 stars,"13,385",Flash Furniture Madelyn Folding Card Table - Brown | Portable Square Table with Collapsible Legs
table,"$65.85,$72.52",4.7 out of 5 stars,"6,237",Flash Furniture Elon 2.85-Foot Square Granite White Plastic Folding Table | Waterproof | Impact and Stain Resistant
table,"$5,049.92",2.5 out of 5 stars,3,HOUKAI 63 Inch Gaming Desk E-Sports Computer Table PC Desk Gamer Tables Workstation with USB Gaming Handle Rack
table,"$71.34,$99.99",4.7 out of 5 stars,"16,832","Cosco Folding Table, 6 Foot, White"
table,$52.94,4.3 out of 5 stars,184,"Small Computer Desk 31 Inch Small Office Desk Writing Desks Home Office Desks Small Space Desk Study Table Modern Simple Style Work Table with Storage Bag Headphone Hook Metal Frame for Home, Bedroom"
table,$30.99,4.5 out of 5 stars,"8,387","ZINUS Dane 20 Inch Black Frame Side Table / End Table / Easy Assembly, Rich black wood grain (Espresso)"
table,"$49.19,$79.00",4.5 out of 5 stars,555,Flash Furniture 4-Foot Height Adjustable Bi-Fold Granite White Plastic Folding Table
table,$174.39,4.3 out of 5 stars,2,"Leick Home 8202-DE Mission Impeccable Side Table with Shelf, Dark Earth"
table,"$55.00,$105.00",4.3 out of 5 stars,"5,449","Walker Edison Cora Modern Glass Top Round Accent Table with X Base, 16 Inch, Glass and Gold"
table,$199.49,4.5 out of 5 stars,"1,279","DuraSteel Food Prep Stainless Steel Table - 24 x 24 Inch Metal Table Cart - Commercial Workbench with Caster Wheel - NSF Certified - For Restaurant, Warehouse, Home, Kitchen, Garage, Chrome"
table,$115.99,4.3 out of 5 stars,129,"AWQM Faux Marble Coffee Table Set of 3, 1 Coffee Table & 2 Sofa Table, Round Tabletop and Metal Cross Base Frame,Perfect for Living Room Apartment, White & Gold"
table,$29.42,3.4 out of 5 stars,"2,388","FURINNO Modern Simplistic Coffee Table, Espresso"
table,"$36.02,$85.99",3.8 out of 5 stars,"3,381","Furinno JAYA Simple Design Oval Coffee Table, Walnut"
table,"$20.38,$55.99",3.6 out of 5 stars,"10,515","Furinno 11172 Just 2-Tier No Tools Coffee Table, White w/White Tube"
table,$25.65,4.1 out of 5 stars,"14,535","Furinno Simple Design Coffee Table, Dark Brown"
table,"$63.10,$99.99",4.2 out of 5 stars,18,"Kate and Laurel Sanzo Metal Side Table, 9x9x23, Silver"
table,"$30.30,$65.99",4.3 out of 5 stars,"40,781","Furinno Simplistic Set of 2 End Table, Espresso/Black"
table,"$25.47,$59.99",4.1 out of 5 stars,"54,336","Furinno Andrey End Table / Side Table / Night Stand / Bedside Table with Bin Drawer, Dark Brown/Black"
