model,title,price,rating,reviews
ipad,Shop on eBay,$20.00,,
ipad,"Apple iPad 6th Generation MR7F2LL/A  A1893 - 32GB - Wi-Fi, 9.7in  Space Gray","3,095,000.00 VND",5.0 out of 5 stars.,677 product ratings
ipad,"Apple iPad Pro 1st 10.5"" 256GB - A1709 - Space Gray Wi-Fi + Cellular 4G Unlocked","4,285,476.19 VND",4.5 out of 5 stars.,81 product ratings
ipad,"Apple iPad 6th Gen. 32GB, Wi-Fi, 9.7 in - GOLD - Bundle - Daily Deal","3,091,666.67 VND",,
ipad,Apple iPad 5th Gen - Good – Refurbished - All Capacities & Colours - Unlocked,"3,251,665.10 VND,3,798,163.43 VND",,
ipad,"Apple iPad Mini 2 2nd Gen 16GB Wi-Fi 7.9"" Space Gray A1489 Tested Good Condition","951,190.48 VND",,
ipad,Brand New Apple iPad 9th Gen 2021 10.2 in 64GB WiFi Space Gray Silver Colours,"8,647,885.71 VND",,
ipad,"Apple iPad Air 2nd Gen. 16GB, Wi-Fi, 9.7in - Space Gray - Bundle - Daily Deal","1,901,190.48 VND",5.0 out of 5 stars.,402 product ratings
ipad,Apple iPad 10.9-inch 10th Generation (2022) 64GB Blue Wi-Fi A2696,"9,500,000.00 VND",4.5 out of 5 stars.,8 product ratings
ipad,Apple iPad 6th Gen A1954 (WiFi + Cellular Unlocked) 32GB Space Gray (Excellent),"4,047,619.05 VND",4.5 out of 5 stars.,109 product ratings
ipad,"2022 Apple iPad 10th Gen 64/256GB WiFi 10.9"" latest model","10,928,571.43 VND,15,214,285.71 VND",4.5 out of 5 stars.,8 product ratings
ipad,Brand New Sealed Apple iPad 10th Generation 2022 10.9 in 64GB WiFi AppleWarranty,"12,911,473.55 VND",,
ipad,Apple iPad 10.9-inch 10th Generation (2022) 64GB Silver Wi-Fi A2696,"9,500,000.00 VND",5.0 out of 5 stars.,3 product ratings
ipad,"Apple iPad 5th Gen (2017) 9.7"" A1823 (WiFi + Unlocked) 32GB Space Gray","3,690,476.19 VND",4.5 out of 5 stars.,118 product ratings
ipad,"Apple iPad (5th Generation) 32GB, Wi-Fi, 9.7n - Space Gray Good Condition","2,190,476.19 VND",,
ipad,"Apple iPad Air 2nd, Wi-Fi, 9.7in - 16GB 32GB 64GB - Gray Silver Gold - Grade C","1,901,190.48 VND,2,853,571.43 VND",,
ipad,Apple iPad 7 (7th Gen) - (2019 Model) - 32GB - 128GB - Wi-Fi - Cellular - Good,"4,282,142.86 VND,5,472,619.05 VND",5.0 out of 5 stars.,54 product ratings
ipad,"2021 Apple iPad 9th Gen 64/256GB WiFi 10.2""","7,119,047.62 VND,11,309,523.81 VND",5.0 out of 5 stars.,128 product ratings
ipad,"Apple iPad (5th Generation) MP2H2LL/A Wi-Fi, 128GB - Space Gray","2,738,095.24 VND",,
ipad,"Apple iPad 9th Gen. 64GB, Wi-Fi, 10.2 in - Space Gray (+ Case bundle)","2,940,476.19 VND",5.0 out of 5 stars.,128 product ratings
ipad,Apple iPad 9th Gen 64GB Space Gray Wi-Fi (Latest Model) - GRADE A,"5,856,904.76 VND",,
ipad,Brand New Apple iPad 9th Gen 2021 10.2 in 64GB WiFi Space Gray Silver,"9,006,712.90 VND",,
ipad,Apple iPad Air 4 - 64GB - Gray (Wifi) (Read Description) CC1179,"6,071,428.57 VND",5.0 out of 5 stars.,59 product ratings
ipad,"Apple iPad 9.7"" 5th Gen (2017 Model) 32GB Wi-Fi - iOS 16.5 Excellent Condition","2,618,809.52 VND",,
ipad,"Apple iPad Air 5th Gen. 10.9 in, 64GB, Wi-Fi A2588 - Blue","11,880,952.38 VND",4.5 out of 5 stars.,10 product ratings
ipad,"Apple iPad Air 2 64GB 9.7"" - Space Gray Tablet MGKL2LL/A (Grade B)","2,214,047.62 VND",,
ipad,"Apple iPad Air 3 Wi-Fi, 10.5in - 64GB 256GB - Gray Silver - Bundle - Daily Deal","4,282,142.86 VND,5,357,142.86 VND",,
ipad,Apple iPad Air 3 - 64GB - Gray (Unlocked) (Read Description) CF1034,"1,333,333.33 VND",5.0 out of 5 stars.,7 product ratings
ipad,Apple iPad 9th Generation - 256GB - Space Grey Cellular + Wifi Model A2603 Great,"1,148,787.81 VND",,
ipad,,"3,547,619.05 VND,4,500,000.00 VND",5.0 out of 5 stars.,224 product ratings
ipad,"Apple iPad 6th Gen 9.7"" 32GB 128GB Silver Gray WiFi or Cellular Unlocked Good","3,214,285.71 VND,3,961,666.67 VND",,
ipad,Apple iPad 2nd 3rd 4th Generation 16GB 32GB 64GB 128GB PICK:GB - Color *Grade B*,"1,666,428.57 VND,4,761,666.67 VND",,
ipad,Apple iPad Pro 1st Gen 32gb Rose Gold A1673 9.7in (WIFI) mm172ll/a Excellent,"2,975,952.38 VND",5.0 out of 5 stars.,131 product ratings
ipad,"2022 Apple iPad 10th Gen 64/256GB WiFi 10.9"" Latest Model SHIPS SAME DAY!!!","10,833,333.33 VND,15,190,476.19 VND",,
ipad,"Apple iPad 5th Gen 9.7"" 32GB 128GB Gray Gold Silver WiFi or Cellular- Acceptable","2,475,952.38 VND,4,209,285.71 VND",,
ipad,"Apple iPad Pro 1st Gen. A1674 128GB, Wi-Fi + 4G (Unlocked), 9.7 in - Space Gray","4,047,380.95 VND",4.5 out of 5 stars.,3 product ratings
ipad,"Apple iPad Air 4th Gen. 64GB, Wi-Fi + 4G (Unlocked), 10.9 in - Sky Blue","8,571,190.48 VND",5.0 out of 5 stars.,7 product ratings
ipad,EXCELLENT -Apple iPad Pro 12.9 (2nd Gen) 256GB Wi-Fi- ACCESSORY BUNDLE!!!,"9,170,714.29 VND",,
ipad,"Apple iPad Pro 3rd Gen A1876,64GB, Wi-Fi, 12.9"",Space Gray :IM246","6,404,761.90 VND",4.5 out of 5 stars.,59 product ratings
ipad,"Apple iPad 8th Gen. 32GB, Wi-Fi + 4G (Unlocked), 10.2 in - Space Gray","4,761,666.67 VND",4.5 out of 5 stars.,16 product ratings
ipad,"Apple iPad 5th Gen 9.7"" 32GB 128GB Gray Silver WiFi or Cellular Unlocked Good","3,095,000.00 VND,4,209,285.71 VND",,
