model,title,price,rating,reviews
pencil,Shop on eBay,$20.00,,
pencil,For Apple Pencil Stylus Pen 2nd Generation for iPad/iPad Air/iPad Pro/iPad mini,"342,857.14 VND",,
pencil,Waterproof Eyebrow Pencil Eye Brow Eyeliner Pen Brow Tint Makeup Long-Lasting,"35,476.19 VND,36,190.48 VND",,
pencil,1PCS Double-end Waterproof Eyeliner Eyebrow Pencil Pen Brush Makeup Tools -,"23,571.43 VND",,
pencil,"SAFFRON WATERPROOF EYEBROW PENCIL BLONDE DARK BROWN BLACK EYE BROW 1, 4, 6 OR 12","52,547.93 VND,269,946.17 VND",,
pencil,TicTok Eyebrow PENCIL & BRUSH - Fine Brow Definition Shaper - Waterproof Liner 5,"89,781.88 VND",,
pencil,Eyebrow Pencil 3D liquid Ink Pen waterproof 4 fork Microblading Tattoo ,"89,781.88 VND",,
pencil,Phoera Microblading Tattoo Eyebrow 3D liquid Ink Pen waterproof brow pencil UK,"89,781.88 VND,104,795.57 VND",,
pencil,Logitech Crayon Digital Pencil for iPad -Orange,"475,952.38 VND",,
pencil,1PC Eyebrow Pencil With Brush Waterproof Eyeliner Eye brow Pen 5 Colors Optional,"29,727.12 VND",,
pencil,Eyebrow Pencil Pen 3D Liquid Tattoo Brow Microblading 24Hours Durable Waterproof,"119,809.26 VND",,
pencil,Microblading Waterproof Tattoo Eyebrow Ink Pen Long Lasting Eye Pencil Fork#AU,"67,419.40 VND",,
pencil,4 Heads Microblading Makeup Eyebrow Tattoo Pen Fork Tip Eye Brow Pencil Ink Pen,"91,904.76 VND",,
pencil,For Apple Pencil 1st Generation Pen Stylus For Ipad 6th 7th 8th 9th 10th Gen,"340,476.19 VND",,
pencil,Apple Pen 1st Generation (White) for iPad/iPad Air/iPad Pro/iPad Pro - Excellent,"1,190,238.10 VND",,
pencil,Bluetooth Magnetic Pencil (2nd Generation) Stylus Pen for iPad Active Pencil Com,"319,523.81 VND",,
pencil,Microblading Tattoo Eyebrow Ink Pen Long Lasting Eye Brow Pencil 3D Fork Makeup+,"42,619.05 VND",,
pencil,Eyebrow Pencil Eye Brow Eyeliner Pen Makeup Waterproof Long-Lasting Tattoo Tint◁,"46,904.76 VND,117,619.05 VND",,
pencil,Eyebrow Pencil Waterproof Eye Brow Eyeliner Pen With Brush Makeup Cosmetic Tool,"18,544.26 VND,35,831.29 VND",,
